symbol,content
AAC,"Australian Agricultural Company Limited is an Australia-based cattle and beef producer. The principal activities of the Company are ownership, operation and development of pastoral properties; production of beef, including breeding, backgrounding, feedlotting and processing of cattle, and sales and marketing of branded beef. The Company specializes in grassfed beef and grainfed beef production. It operates an integrated cattle production system across approximately 20 owned cattle stations, over two leased stations, approximately 10 agisted properties, over two owned feedlots, a beef processing facility and over two owned and an external farms located throughout Queensland, New South Wales, the Northern Territory and Western Australia. The Company runs herd of Wagyu cattle, producing Wagyu beef, which is exported to over 20 countries around the world. Its Northern Beef Processing Facility is located at Livingstone Valley."
AAL,"Anglo American plc is a mining company. The Company has a portfolio of mining operations and undeveloped resources with a focus on diamonds, copper, platinum group metals (PGMs), and bulk commodities and other minerals. Its segments include De Beers, Platinum, Copper, Nickel, Niobium and Phosphates, Iron Ore and Manganese, Coal, and Corporate and other. De Beers is engaged in the diamond business. It holds interests in two copper mines: Los Bronces and Collahuasi in Chile. It has two ferronickel production sites: Barro Alto and Codemin. Its iron ore operations provide customers with iron content ore through assets in Brazil. It has metallurgical coal assets in Australia, and thermal coal assets in South Africa and Colombia. Under the Platinum segment, the Company has operations located in the Bushveld Complex in South Africa, with the exception of Unki mine on the Great Dyke formation in Zimbabwe. It holds interest in various other individual assets across the bulk commodities."
AAMC,"Altisource Asset Management Corporation provides asset management and corporate governance services to institutional investors. The Company's primary client is Altisource Residential Corporation (Residential). The Company operates through segment, which is focused on providing asset management and certain corporate governance services to Residential. Its business strategy is to provide asset management services to Residential to generate cash available for distribution to its shareholders and thereby growing its earnings, and develop additional investment strategies and vehicles. Residential is a public real estate investment trust (REIT) that acquires and manages single-family rental properties by acquiring sub-performing and non-performing mortgage loans throughout the United States. In addition to providing services to Residential, it also provides management services to NewSource Reinsurance Company Ltd., which is an insurance and reinsurance company."
AAME,"Atlantic American Corporation is a holding company that operates through its subsidiaries in specialty markets within the life and health, and property and casualty insurance industries. The Company's principal operating subsidiaries are American Southern Insurance Company and American Safety Insurance Company (together known as American Southern) within the property and casualty insurance industry, and Bankers Fidelity Life Insurance Company and Bankers Fidelity Assurance Company (together known as Bankers Fidelity) within the life and health insurance industry. Each of American Southern and Bankers Fidelity is managed separately based upon the type of products it offers. American Southern's product lines include business automobile insurance policies, General Liability Insurance policies, Property Insurance policies and Surety Bonds. Products offered by Bankers Fidelity include ordinary and term life insurance, Medicare supplement and other accident and health insurance products."
AAN,"Aaron's, Inc. (Aaron's) is an omnichannel provider of lease-purchase solutions. The Company engages in the sales and lease ownership and specialty retailing of furniture, consumer electronics, home appliances and accessories through its Company-operated and franchised stores in Canada, as well as its e-commerce platform, Aarons.com. Its segments include Sales and Lease Ownership, Progressive Finance Holdings, LLC (Progressive), Dent-A-Med, Inc., doing business as the HELPcard (DAMI), Franchise and Manufacturing. Its stores carry brands, such as Samsung, Frigidaire, Hewlett-Packard, LG, Whirlpool, Simmons, Philips, Ashley and Magnavox. As of December 31, 2016, it had 1,864 Aaron's stores, consisted of 1,165 Company-operated stores in 28 states, the District of Columbia and Canada, and 699 independently-owned franchised stores in 46 states and Canada. It owns trademarks and trade names used in business, including Progressive, Dent-A-Med, the HELPcard and Woodhaven Furniture Industries."
AAOI,"Applied Optoelectronics, Inc. is a vertically integrated provider of fiber-optic networking products, primarily for networking end markets, such as Internet data center, cable television (CATV), fiber-to-the-home (FTTH) and telecommunications (telecom). The Company designs and manufactures a range of optical communications products at varying levels of integration, from components, subassemblies and modules to turnkey equipment. To Internet-based data center operators, it supplies optical transceivers that plug into switches and servers within the data center and allow these network devices to send and receive data over fiber optic cables. The Company supplies a range of products, including lasers, transmitters and transceivers, and turnkey equipment, to the CATV market. The Company designs, manufactures and integrates its own analog and digital lasers using a combination of Metal Organic Chemical Vapor Deposition (MOCVD) and its Molecular Beam Epitaxy (MBE) fabrication process."
AAON,"AAON, Inc. is engaged in the engineering, manufacturing, marketing and sale of air conditioning and heating equipment consisting of standard, semi-custom and custom rooftop units, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps and coils. Its products serve the commercial and industrial new construction and replacement markets. Its rooftop and condensing unit markets consist of units installed on commercial or industrial structures of less than 10 stories in height. Its air handling units, self-contained units, geothermal/water-source heat pumps, chillers, packaged outdoor mechanical rooms and coils are applicable to all sizes of commercial and industrial buildings. The replacement market consists of products installed to replace existing units/components that are worn or damaged."
AAP,"Advance Auto Parts, Inc. provides automotive aftermarket parts in North America, serving do-it-for-me (Professional) and do-it-yourself (DIY), customers. The Company's stores and branches offer a selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks. It serves through various channels ranging from traditional brick and mortar store locations to self-serving e-commerce sites. As of December 31, 2016, it operated 5,062 total stores and 127 branches primarily under the trade names Advance Auto Parts, Autopart International, Carquest and Worldpac. As of December 31, 2016, its Advance Auto Parts operations consisted of three geographic divisions, which included the operations of the stores operating under the Advance Auto Parts, Carquest and Autopart International trade names."
AAPL,"Apple Inc. (Apple) designs, manufactures and markets mobile communication and media devices, personal computers, and portable digital music players, and a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. The Company's products and services include iPhone, iPad, Mac, iPod, Apple TV, a portfolio of consumer and professional software applications, the iOS and OS X operating systems, iCloud, and a variety of accessory, service and support offerings. The Company also delivers digital content and applications through the iTunes Store, App StoreSM, iBookstoreSM, and Mac App Store. The Company distributes its products worldwide through its retail stores, online stores, and direct sales force, as well as through third-party cellular network carriers, wholesalers, retailers, and value-added resellers. In February 2012, the Company acquired app-search engine Chomp."
AAT,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust (REIT). The Company owns, operates, acquires and develops retail, office, multifamily and mixed-use properties in Southern California, Northern California, Oregon, Washington, Texas and Hawaii markets. The Company operates in four business segments: retail, office, multifamily and mixed-use. As of December 31, 2016, the Company's portfolio consisted of 11 retail shopping centers; seven office properties; a mixed-use property consisting of a 369-room all-suite hotel and a retail shopping center, and five multifamily properties. Additionally, as of December 31, 2016, the Company owned land at four of its properties that it classified as held for development and construction in progress. The Company's markets include San Diego, the San Francisco Bay Area, Portland, Oregon, Bellevue, Washington and Oahu, Hawaii."
