symbol,gics8,hier.text_068
A,35203010,20
AA,15104010,11
AAC,35102020,6
AAMC,60102040,22
AAME,40301030,15
AAN,25504060,7
AAOI,45201020,12
AAON,20102010,11
AAP,25504050,17
AAPL,45202030,46
AAT,60101010,24
AAWW,20301010,32
AB,40203010,21
ABAX,35101010,2
ABBV,35201010,4
ABC,35102010,0
ABCB,40101015,39
ABCD,25302010,50
ABCO,20202020,8
ABDC,40203010,35
ABG,25504050,17
ABIO,35201010,4
ABM,20201050,11
ABMD,35101010,2
ABR,40204010,10
ABT,35101010,2
ABTL,45101010,7
ACAD,35201010,4
ACC,60101060,22
ACCO,20201060,6
ACET,35102010,1
ACFC,40102010,44
ACHC,35102020,36
ACHN,35201010,4
ACIW,45103010,38
ACLS,45301010,3
ACM,20103010,23
ACNB,40101015,39
ACOR,35201010,4
ACRE,40204010,10
ACRX,35202010,4
ACSF,40203010,35
ACTA,45101010,56
ACTG,20202020,6
ACU,20201060,6
ACXM,45102010,8
ADBE,45103010,46
ADC,60101070,24
ADGE,55105010,11
ADI,45301020,40
ADK,35102020,36
ADM,30202010,1
ADMA,35201010,2
ADMP,35202010,4
ADMS,35201010,4
ADP,45102020,5
ADRO,35201010,9
ADS,45102020,8
ADSK,45103010,3
ADTN,45201020,56
ADUS,35102015,2
ADXS,35201010,9
AE,10102030,55
AEE,55103010,27
AEGN,20103010,6
AEHR,45301010,13
AEIS,45301010,40
AEL,40301020,45
AEO,25504010,30
AEP,55101010,27
AERI,35202010,4
AES,55105010,54
AET,35102030,0
AETI,20104010,40
AEY,45203030,52
AF,40102010,44
AFG,40301030,15
AFH,40301040,15
AFL,40301020,0
AFSI,40301040,15
AGCO,20106015,11
AGEN,35201010,4
AGIO,35201010,9
AGM,40102010,6
AGNC,40204010,10
AGRX,35202010,4
AGX,20103010,23
AGYS,45203030,8
AHC,25401040,46
AHGP,10102050,64
AHH,60101010,24
AHP,60101030,37
AHPI,35101010,2
AHT,60101030,37
AI,40203010,10
AIG,40301030,15
AIMC,20106020,26
AIN,20106020,6
AINV,40203010,35
AIQ,35102015,2
AIR,20101010,26
AIRI,20101010,26
AIT,20107010,11
AIV,60101060,62
AIZ,40301030,7
AJG,40301010,15
AJRD,20101010,26
AJX,40204010,10
AKAM,45101010,46
AKAO,35202010,4
AKBA,35201010,4
AKR,60101070,60
AKRX,35202010,1
AKS,15104050,61
AL,20107010,32
ALB,15101050,16
ALCO,30202010,6
ALDR,35201010,4
ALDW,10102030,55
ALDX,35201010,4
ALE,55101010,54
ALEX,60102010,22
ALG,20106010,11
ALGN,35101020,3
ALGT,20302010,32
ALIM,35202010,4
ALJ,10102030,55
ALK,20302010,32
ALL,40301040,15
ALLY,40202010,7
ALNY,35201010,4
ALOG,35101010,2
ALOT,45202030,26
ALQA,35101020,2
ALR,35101020,20
ALSK,50101020,31
ALSN,20106010,17
ALX,60101070,24
ALXN,35201010,4
AM,10102040,14
AMAG,35201010,4
AMAT,45301010,13
AMBA,45301020,63
AMBR,45101010,8
AMC,25401030,6
AMCX,25401020,52
AMD,45301020,3
AME,20104010,11
AMED,35102015,36
AMG,40203010,21
AMGN,35201010,4
AMH,60101060,22
AMID,10102040,25
AMKR,45301010,13
AMNB,40101015,28
AMOT,20104010,26
AMP,40203010,21
AMPE,35202010,4
AMPH,35202010,1
AMRB,40101015,28
AMRC,20103010,54
AMRI,35203010,20
AMRK,40201040,6
AMRS,10102030,1
AMS,35102015,2
AMSC,20104010,54
AMSF,40301040,15
AMSWA,45103010,8
AMT,60101080,22
AMTD,40203020,48
AMTX,10102030,1
AMWD,20102010,18
AMZN,25502020,7
AN,25504050,17
ANAT,40301030,15
ANCX,40101015,39
ANDE,30101020,1
ANET,45201020,56
ANF,25504010,6
ANGI,45101010,7
ANGO,35101010,2
ANH,40204010,10
ANIK,35101020,2
ANIP,35202010,1
ANSS,45103010,3
ANTH,35201010,4
ANTM,35102030,0
AOI,30203010,6
AOS,20102010,49
AOSL,45301020,40
AP,15104050,61
APA,10102020,19
APAM,40203010,21
APC,10102020,25
APD,15101040,11
APDN,45203010,8
APEI,25302010,50
APH,45203015,12
APO,40203010,21
APOG,20102010,16
APPS,45103010,46
APRI,35202010,4
APTS,60101060,62
APU,55102010,14
AR,10102020,14
ARAY,35101010,2
ARC,20201060,3
ARCB,20304020,33
ARCC,40203010,35
ARCI,25504040,43
ARCW,20106020,26
ARCX,10102040,55
ARDM,35202010,4
ARDX,35201010,4
ARE,60101040,24
ARES,40203010,21
AREX,10102020,19
ARI,40204010,10
ARII,20106010,11
ARIS,45101010,8
ARKR,25301040,51
ARLP,10102050,64
ARMK,25301040,11
ARNA,35201010,4
AROW,40101015,28
ARQL,35201010,9
ARR,40204010,10
ARRS,45201020,56
ARRY,35201010,9
ARTNA,55104010,49
ARTW,20106015,11
ARTX,20101010,11
ARW,45203030,3
ARWR,35201010,4
ASB,40101015,39
ASCMA,25302020,18
ASFI,40202010,7
ASGN,20202010,5
ASH,15101050,16
ASH,15101050,16
ASMB,35202010,4
ASNA,25504010,30
ASPN,10101020,6
ASRV,40101015,39
AST,35201010,9
ASTC,20101010,6
ASTE,20106010,11
ASUR,45103010,8
ASYS,45301010,13
AT,55105010,54
ATEC,35101010,2
ATEN,45103020,56
ATHN,35103010,0
ATHX,35201010,4
ATI,15104050,11
ATLC,40202010,7
ATLO,40101015,44
ATNI,50101020,31
ATNM,35201010,9
ATO,55102010,27
ATR,15103010,57
ATRA,35201010,9
ATRC,35101010,2
ATRI,35101020,2
ATRO,20101010,26
ATRS,35101020,1
ATSG,20301010,32
ATVI,45103030,6
ATW,10101010,29
AUMN,15104040,59
AVA,55103010,27
AVAV,20101010,11
AVB,60101060,62
AVD,15101030,6
AVEO,35201010,4
AVGR,35101010,2
AVHI,25201030,41
AVID,45202030,46
AVNW,45201020,3
AVT,45203030,3
AVX,45203015,11
AVY,15103020,16
AWI,20102010,16
AWK,55104010,49
AWR,55104010,49
AWRE,45103010,8
AWX,20201050,6
AXAS,10102020,19
AXDX,35203010,20
AXE,45203030,12
AXGN,35101010,2
AXL,25101010,17
AXP,40202010,7
AXR,20201070,22
AXTA,15101050,16
AXTI,45301010,3
AYI,20104010,65
AYR,20107010,32
AZO,25504050,17
AZPN,45103010,8
AZZ,20104020,11
B,20106020,26
BA,20101010,18
BABY,35101010,3
BAC,40101010,39
BAH,45102010,8
BANC,40101015,28
BANF,40101015,28
BANR,40101015,28
BASI,35203010,20
BAX,35101010,2
BBBY,25504060,43
BBG,10102020,19
BBGI,25401020,46
BBOX,45201020,3
BBRG,25301040,51
BBSI,20202010,5
BBT,40101015,39
BBW,25504040,43
BBY,25504020,7
BC,25202010,6
BCBP,40101015,28
BCC,15105010,16
BCEI,10102020,19
BCLI,35201010,9
BCO,20201080,18
BCOR,45101010,7
BCOV,45101010,63
