symbol,gics8,kmeans.text_068
ADSK,45103010,0
AMSWA,45103010,0
ANSS,45103010,0
ASUR,45103010,0
AWRE,45103010,0
AZPN,45103010,0
BSQR,45103010,0
CALD,45103010,0
CTRL,45203010,0
CVG,45102020,0
CVLT,45103020,0
DATA,45103020,0
DWCH,45103010,0
EGAN,45101010,0
EGOV,45101010,0
ELLI,45103010,0
EPAM,45102010,0
EXA,45103010,0
FALC,45103020,0
FICO,45103010,0
FIVN,45101010,0
GUID,45103010,0
GWRE,45103010,0
HHS,25401010,0
HUBS,45103010,0
INWK,20201010,0
JIVE,45103010,0
MRIN,45101010,0
MSI,45201020,0
MXPT,45101010,0
NATI,45203010,0
NCR,45202030,0
NEWR,45101010,0
NTWK,45103010,0
ORCL,45103020,0
PAR,45203010,0
PAYC,45103010,0
PCMI,45203030,0
PDFS,45301010,0
PEGA,45103010,0
PLUS,45203030,0
PRGS,45103020,0
PTC,45103010,0
QADA,45103010,0
QSII,35103010,0
RMD,35101010,0
ROK,20104010,0
SPRT,45101010,0
SRT,45102020,0
TWOU,45101010,0
TYL,45103010,0
UPLD,45103010,0
WSTG,45203030,0
ZEN,45103010,0
ABCB,40101015,1
ACFC,40102010,1
AF,40102010,1
BCBP,40101015,1
BHBK,40101015,1
BKJ,40101015,1
BKMU,40102010,1
BLMT,40102010,1
BNCL,40102010,1
CACB,40101015,1
CBF,40101015,1
CBFV,40101015,1
CFBK,40102010,1
CFFN,40102010,1
CHFN,40102010,1
CNBKA,40101015,1
CSBK,40102010,1
CWAY,40102010,1
DCOM,40102010,1
EBMT,40101015,1
EBSB,40102010,1
EBTC,40101015,1
ESSA,40102010,1
FBNK,40101015,1
FCCY,40101015,1
FFIC,40101015,1
FFNW,40101015,1
FNLC,40101015,1
FNWB,40101015,1
FSB,40101015,1
FSBK,40101015,1
GBCI,40101015,1
GBNK,40101015,1
GSBC,40101015,1
GWB,40101015,1
HAFC,40101015,1
HBCP,40102010,1
HFBC,40102010,1
HFWA,40101015,1
HMNF,40102010,1
HTBI,40101015,1
INBK,40101015,1
INDB,40101015,1
ISBC,40101015,1
KRNY,40102010,1
LARK,40101015,1
LION,40101015,1
LTXB,40101015,1
MFSF,40101015,1
MLVF,40102010,1
MSBF,40102010,1
NBN,40101015,1
NFBK,40102010,1
NYCB,40102010,1
OCFC,40102010,1
ORIT,40102010,1
PBHC,40102010,1
PBIP,40102010,1
PFS,40102010,1
PKBK,40101015,1
PROV,40102010,1
PWOD,40101015,1
RVSB,40102010,1
SBCP,40101015,1
SIFI,40102010,1
SONA,40101015,1
STL,40101015,1
TBBK,40101015,1
TBNK,40102010,1
TFSL,40102010,1
TREE,40102010,1
TSBK,40102010,1
UBNK,40102010,1
UCFC,40102010,1
VLY,40101015,1
WABC,40101015,1
WAFD,40102010,1
WAL,40101015,1
AR,10102020,2
ATO,55102010,2
BWP,10102040,2
CELP,20201050,2
CLNE,10102030,2
CNNX,10102040,2
CNX,10102050,2
COP,10102020,2
CPK,55102010,2
CQH,10102040,2
CQP,10102040,2
DGAS,55102010,2
DM,10102040,2
DVN,10102020,2
EGAS,55102010,2
EQGP,10102040,2
EQM,10102040,2
EQT,10102020,2
L,40301030,2
LNG,10102040,2
MDU,55103010,2
MIC,20305010,2
NFG,55102010,2
NGS,10101020,2
NJR,55102010,2
NWN,55102010,2
OGS,55102010,2
OXY,10102010,2
PDCE,10102020,2
RGCO,55102010,2
RMP,10102040,2
SJI,55102010,2
SO,55101010,2
SPH,55102010,2
SPKE,55101010,2
SRE,55103010,2
SWN,10102020,2
SWX,55102010,2
SYMX,10101020,2
TCP,10102040,2
UGI,55102010,2
UNT,10101010,2
USAC,10101020,2
WGL,55102010,2
WMB,10102040,2
PTEN,10101010,2
ACNB,40101015,3
AMNB,40101015,3
AROW,40101015,3
