symbol,mc
A,18.09B  
AA,5.95B  
AAC,161.76M  
AAL,22.27B  
AAMC,116.2M  
AAME,76.55M  
AAN,2.44B  
AAOI,1.21B  
AAON,1.93B  
AAP,11.18B  
AAPL,798.03B  
AAT,2.56B  
AAWW,1.2B  
AB,2.02B  
ABAX,1.06B  
ABBV,104.37B  
ABC,19.47B  
ABCB,1.63B  
ABCD,224.58M  
ABCO,2.08B  
ABDC,180.73M  
ABG,1.21B  
ABIO,22.64M  
ABM,2.3B  
ABMD,5.69B  
ABR,674.69M  
ABT,74.89B  
ABTL,144.15M  
ACAD,3.4B  
ACC,6.33B  
ACCO,1.25B  
ACET,430.44M  
ACFC,121.06M  
ACFN,7.68M  
ACHC,3.83B  
ACHN,583.81M  
ACIW,2.66B  
ACLS,644.05M  
ACM,5.08B  
ACNB,178.98M  
ACOR,711.56M  
ACRE,369.14M  
ACRX,120.26M  
ACSF,135M  
ACTA,462.47M  
ACTG,227.64M  
ACU,90.21M  
ACUR,5.94M  
ACXM,2.02B  
ACY,14.95M  
ADAT,13.19M  
ADBE,67.49B  
ADC,1.19B  
ADEP,N/A  
ADGE,16.07M  
ADI,29.66B  
ADK,22.18M  
ADM,23.59B  
ADMA,48.2M  
ADMP,107.5M  
ADMS,334.94M  
ADP,44.12B  
ADPT,38.86M  
ADRO,695.64M  
ADS,13.09B  
ADSK,24.22B  
ADTN,944.73M  
ADUS,436.44M  
ADXS,337.27M  
AE,168.83M  
AEE,13.49B  
AEGN,622.54M  
AEHR,90M  
AEIS,3.03B  
AEL,2.18B  
AEO,1.98B  
AEP,33.79B  
AERI,1.38B  
AES,7.39B  
AET,46.89B  
AETI,15M  
AEY,17.63M  
AF,1.89B  
AFAM,782.7M  
AFG,8.53B  
AFH,176.25M  
AFL,29.32B  
AFSI,2.08B  
AGCO,5.1B  
AGEN,340.22M  
AGIO,2.37B  
AGM,635.83M  
AGNC,7.16B  
AGRX,97.08M  
AGTC,94.94M  
AGX,1.04B  
AGYS,220.92M  
AHC,119.52M  
AHGP,1.73B  
AHH,813.38M  
AHP,368.83M  
AHPI,7.43M  
AHT,752.16M  
AI,335.76M  
AIG,56.66B  
AIMC,1.24B  
AIN,1.5B  
AINC,103.78M  
AINV,1.38B  
AIQ,143.07M  
AIR,1.13B  
AIRI,18.36M  
AIRM,1.57B  
AIRT,40.86M  
AIT,2.34B  
AIV,7.08B  
AIZ,5.47B  
AJG,10.01B  
AJRD,1.52B  
AJX,259.74M  
AKAM,8.19B  
AKAO,885.94M  
AKBA,553.8M  
AKR,2.45B  
AKRX,4.14B  
AKS,1.75B  
AL,3.85B  
ALB,12.22B  
ALCO,255.34M  
ALDR,889.75M  
ALDW,696.48M  
ALDX,67.34M  
ALE,3.52B  
ALEX,2.02B  
ALG,964.56M  
ALGN,11.12B  
ALGT,2.37B  
ALIM,97.35M  
ALJ,913.44M  
ALK,10.45B  
ALL,30.67B  
ALLY,8.63B  
ALNY,6.18B  
ALOG,893.6M  
ALOT,106.1M  
ALQA,18.39M  
ALR,4.13B  
ALSK,114.1M  
ALSN,5.68B  
ALX,2.11B  
ALXN,25.56B  
AM,6.32B  
AMAG,662.36M  
AMAT,47.6B  
AMBA,2.11B  
