symbol,content
A,"Agilent Technologies, Inc. engages in the provision of core bio-analytical and electronic measurement solutions to the life sciences, chemical analysis, communications and electronics, diagnostics and genomics industries. It operates through the following segments: Life Sciences; Chemical Analysis; Diagnostics and Genomics; and Electronic Measurement. The Life Sciences segment provides application-focused solutions that include instruments, software, consumables and services that enable customers to identify, quantify and analyze the physical and biological properties of substances and products. The Chemical Analysis segment manufactures gas chromatography mass spectrometry systems, inductively coupled plasma mass spectrometry instruments, atomic absorption instruments, inductively coupled plasma optical emission spectrometry instruments, molecular spectroscopy instruments, vacuum pumps and measurement technologies supports and services. The Diagnostics and Genomics segment provides solutions that include reagents, instruments, software and consumables that enable customers in the clinical and life sciences research areas to interrogate samples at the molecular level. The Electronic Measurement segment provides electronic measurement instruments and systems, software design tools and related services that are used in the design, development, manufacture, installation, deployment and operation of electronics equipment and microscopy products. The company was founded in 1999 and is headquartered in Santa Clara, CA."
AA,"Alcoa Corp. engages in the production of bauxite, alumina and aluminum products. It operates through the following segments: Bauxite, Alumina, Aluminum, Cast Products, Energy and Rolled Products. The Bauxite segment portfolio represents its bauxite mining assets and it is mined and sold primarily to internal customers within the Alumina segment, who then process it into alumina. The Alumina segment represents its worldwide refining system, which processes bauxite into alumina, which is mainly sold directly to internal and external smelter customers worldwide. The Aluminum segment represents its worldwide smelter system, which receives alumina, mostly from the Alumina segment, and produces molten primary aluminum. The Cast Products segment represents its worldwide cast house system, which are made from molten aluminum, purchased primarily from its Aluminum segment, which is then formed into various value-added ingot products, including billet and slab, for use in fabrication operations in a variety of industries. The Energy segment represents portfolio of energy assets. The Rolled Products segment represents its rolling mill in Warrick, Indiana, which produces aluminum sheet primarily sold directly to customers in the packaging end market for the production of aluminum cans. Alcoa Corporation began operation as a separate company on November 1, 2016 and was formed by Alcoa Inc. (now named Arconic Inc.) via a distribution of shares (spinoff) to existing Alcoa Inc. stockholders. nan The company is headquartered in New York, NY."
AAL,"American Airlines Group, Inc. is a holding company whose business activity is the operation of a network carrier through its principal wholly-owned mainline operating subsidiary, American. The company provides air transportation for passengers and cargo. It cargo division provides a range of freight and mail services, with facilities and interline connections available across the globe. The company was founded on December 9, 2013 and is headquartered in Fort Worth, TX."
AAMC,"Altisource Asset Management Corp. engages in the provision of portfolio management and governance services to investment vehicles that acquire and own residential properties. The company was founded on March 15, 2012 and is headquartered in Christiansted, Virgin Islands."
AAME,"Atlantic American Corp. is an insurance holding company, which engages in the life, health, and property and casualty insurance industries through its subsidiary companies. It operates through the following segments: American Southern, Bankers Fidelity, and Corporate and Other. The American Southern segment involves in the property and casualty insurance market. The Bankers Fidelity segment operates in the life and health insurance market. The company was founded in 1968 and is headquartered in Atlanta, GA."
AAN,"Aaron&#x27;s, Inc. retails consumer electronics, computers, residential furniture, household appliances, and accessories. It engages in the lease ownership, lease and retail sale of products such as widescreen and liquid crystal display televisions, computers, living room, dining room and bedroom furniture, washers, dryers, and refrigerators. It operates through the following segments: Sales and Lease Ownership, Progressive, DAMI, Franchise, and Manufacturing. The Sales and Lease Ownership segment offers electronics, furniture, appliances, and computers. The Progressive segment involves a lease-purchase option for customers to acquire goods. The Franchise segment awards franchises and supports franchisees of sales and lease ownership concept. The Manufacturing segment manufactures upholstered furniture and bedding. The company was founded by R. Charles Loudermilk, Sr. in 1955 and is headquartered in Atlanta, GA."
AAOI,"Applied Optoelectronics, Inc. designs, develops and manufactures optical devices, packaged optical components, optical subsystems, laser transmitters, and fiber optic transceivers. It manufactures optical devices, including laser diodes, photodiodes, related modules and circuitry and equipment for applications in fiber-to-the-home, cable television, point to point communications and wireless. The company provides its products for three networking end-markets: internet data center, cable television and fiber-to-the-home. Applied Optoelectronics was founded by Chih-Hsiang Lin on February 28, 1997 and is headquartered in Sugar Land, TX."
AAON,"AAON, Inc. designs, manufactures and sells semi-custom heating, ventilation and air conditioning equipment (HVAC) for commercial and residential use. Its products include rooftop units, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal heat pumps, self-contained units and coils. The company was founded by Norman H. Asbjornson on August 18, 1987 and is headquartered in Tulsa, OK."
AAP,"Advance Auto Parts, Inc. operates as a retailer of automotive aftermarket parts, accessories, batteries and maintenance items. Its stores carry an extensive product line for cars, vans; sport utility vehicles and light trucks. The company was founded by Arthur Taubman in 1929 and is headquartered in Roanoke, VA."
AAPL,"Apple, Inc. engages in the design, manufacture, and marketing of mobile communication, media devices, personal computers, and portable digital music players. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes both North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises of China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries not included in the reportable operating segments of the company. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak on April 1, 1976 and is headquartered in Cupertino, CA."
