symbol,gics8,hier.text_008
A,35203010,6
AA,15104010,2
AAC,35102020,1
AAMC,60102040,5
AAME,40301030,3
AAN,25504060,2
AAOI,45201020,3
AAON,20102010,3
AAP,25504050,1
AAPL,45202030,2
AAT,60101010,2
AAWW,20301010,4
AB,40203010,1
ABAX,35101010,7
ABBV,35201010,3
ABC,35102010,6
ABCB,40101015,0
ABCD,25302010,6
ABCO,20202020,1
ABDC,40203010,1
ABG,25504050,1
ABIO,35201010,0
ABM,20201050,4
ABMD,35101010,7
ABR,40204010,2
ABT,35101010,3
ABTL,45101010,1
ACAD,35201010,0
ACC,60101060,4
ACCO,20201060,3
ACET,35102010,2
ACFC,40102010,1
ACHC,35102020,4
ACHN,35201010,0
ACIW,45103010,1
ACLS,45301010,1
ACM,20103010,4
ACNB,40101015,1
ACOR,35201010,0
ACRE,40204010,0
ACRX,35202010,0
ACSF,40203010,0
ACTA,45101010,6
ACTG,20202020,0
ACU,20201060,3
ACXM,45102010,6
ADBE,45103010,6
ADC,60101070,0
ADGE,55105010,1
ADI,45301020,3
ADK,35102020,4
ADM,30202010,2
ADMA,35201010,2
ADMP,35202010,7
ADMS,35201010,0
ADP,45102020,4
ADRO,35201010,0
ADS,45102020,4
ADSK,45103010,1
ADTN,45201020,1
ADUS,35102015,4
ADXS,35201010,0
AE,10102030,2
AEE,55103010,2
AEGN,20103010,4
AEHR,45301010,7
AEIS,45301010,3
AEL,40301020,7
AEO,25504010,3
AEP,55101010,2
AERI,35202010,0
AES,55105010,0
AET,35102030,6
AETI,20104010,1
AEY,45203030,6
AF,40102010,0
AFG,40301030,3
AFH,40301040,0
AFL,40301020,3
AFSI,40301040,6
AGCO,20106015,1
AGEN,35201010,0
AGIO,35201010,7
AGM,40102010,2
AGNC,40204010,0
AGRX,35202010,7
AGX,20103010,4
AGYS,45203030,5
AHC,25401040,6
AHGP,10102050,2
AHH,60101010,1
AHP,60101030,0
AHPI,35101010,3
AHT,60101030,0
AI,40203010,0
AIG,40301030,6
AIMC,20106020,3
AIN,20106020,2
AINV,40203010,1
AIQ,35102015,4
AIR,20101010,4
AIRI,20101010,2
AIT,20107010,3
AIV,60101060,5
AIZ,40301030,6
AJG,40301010,4
AJRD,20101010,2
AJX,40204010,3
AKAM,45101010,4
AKAO,35202010,0
AKBA,35201010,0
AKR,60101070,6
AKRX,35202010,3
AKS,15104050,3
AL,20107010,1
ALB,15101050,6
ALCO,30202010,6
ALDR,35201010,0
ALDW,10102030,7
ALDX,35201010,7
ALE,55101010,6
ALEX,60102010,2
ALG,20106010,3
ALGN,35101020,6
ALGT,20302010,1
ALIM,35202010,0
ALJ,10102030,3
ALK,20302010,2
ALL,40301040,3
ALLY,40202010,6
ALNY,35201010,0
ALOG,35101010,2
ALOT,45202030,2
ALQA,35101020,0
ALR,35101020,3
ALSK,50101020,4
ALSN,20106010,2
ALX,60101070,0
ALXN,35201010,7
AM,10102040,2
AMAG,35201010,0
AMAT,45301010,6
AMBA,45301020,2
AMBR,45101010,5
AMC,25401030,0
AMCX,25401020,2
AMD,45301020,3
AME,20104010,6
AMED,35102015,6
AMG,40203010,5
AMGN,35201010,3
AMH,60101060,0
