symbol,gics8,textgics_015
ADGE,55105010,0
AM,10102040,0
AOS,20102010,0
ARTNA,55104010,0
ATW,10101010,0
AWK,55104010,0
AWR,55104010,0
BHI,10101020,0
BMI,45203010,0
BRN,10102020,0
CDZI,55104010,0
CKH,10101020,0
CTWS,55104010,0
CVEO,20201070,0
CWT,55104010,0
DO,10101010,0
DRQ,10101020,0
ECL,15101050,0
ENSV,10101020,0
ERII,20106020,0
FELE,20106020,0
FET,10101020,0
GE,20105010,0
GIFI,10101020,0
HAL,10101020,0
HLX,10101020,0
HOS,10101020,0
HP,10101010,0
HWKN,15101010,0
ICD,10101010,0
ITRI,45203010,0
LAYN,20103010,0
MDR,10101020,0
MSEX,55104010,0
MWA,20106020,0
NOV,10101020,0
NR,10101020,0
NWPX,20103010,0
OII,10101020,0
OIS,10101020,0
PCYO,55104010,0
PES,10101010,0
PICO,40201030,0
PKD,10101010,0
PRIM,20103010,0
PRMW,30201030,0
RDC,10101010,0
RES,10101020,0
RXN,20106020,0
SAEX,10101020,0
SDPI,10101020,0
SJW,55104010,0
SLB,10101020,0
SPN,10101020,0
STRL,20103010,0
SVT,20104010,0
TDW,10101020,0
TESO,10101020,0
TGEN,20102010,0
TTI,10101020,0
WTR,55104010,0
WTS,20106020,0
XYL,20106020,0
YORW,55104010,0
ABBV,35201010,1
ABIO,35201010,1
ACAD,35201010,1
ACHN,35201010,1
ACOR,35201010,1
ACRX,35202010,1
ADMA,35201010,1
ADMP,35202010,1
ADMS,35201010,1
ADRO,35201010,1
ADXS,35201010,1
AERI,35202010,1
AGEN,35201010,1
AGIO,35201010,1
AGRX,35202010,1
AKAO,35202010,1
AKBA,35201010,1
ALDR,35201010,1
ALDX,35201010,1
ALIM,35202010,1
ALNY,35201010,1
ALXN,35201010,1
AMAG,35201010,1
AMGN,35201010,1
AMPE,35202010,1
AMPH,35202010,1
AMRI,35203010,1
ANIK,35101020,1
ANIP,35202010,1
ANTH,35201010,1
APRI,35202010,1
ARAY,35101010,1
ARDM,35202010,1
ARDX,35201010,1
ARNA,35201010,1
ARQL,35201010,1
ARRY,35201010,1
ARWR,35201010,1
ASMB,35202010,1
AST,35201010,1
ATHX,35201010,1
ATNM,35201010,1
ATRA,35201010,1
ATRS,35101020,1
AVEO,35201010,1
BAX,35101010,1
BCLI,35201010,1
BCRX,35201010,1
BDSI,35202010,1
BIIB,35201010,1
BIOC,35201010,1
BLCM,35201010,1
BLPH,35101010,1
BLUE,35201010,1
BMRN,35201010,1
BMY,35202010,1
BPMC,35201010,1
BPTH,35202010,1
BSTC,35201010,1
BTX,35201010,1
CALA,35201010,1
CAPN,35101010,1
CAPR,35201010,1
CARA,35201010,1
CASI,35201010,1
CBAY,35202010,1
CBLI,35201010,1
CBMG,35201010,1
CDTX,35201010,1
CELG,35201010,1
CEMP,35202010,1
CERU,35201010,1
CFRX,35201010,1
CHRS,35201010,1
CLDX,35201010,1
CLRB,35201010,1
CLSN,35201010,1
CLVS,35201010,1
CMRX,35201010,1
CNAT,35201010,1
CNCE,35201010,1
COLL,35202010,1
CORI,35202010,1
CORT,35202010,1
CPRX,35201010,1
CRBP,35201010,1
CRIS,35201010,1
CRMD,35201010,1
CTIC,35201010,1
CTLT,35202010,1
CTRV,35202010,1
CTSO,35101010,1
CUR,35201010,1
CYCC,35201010,1
CYTK,35201010,1
CYTR,35201010,1
CYTX,35201010,1
DEPO,35202010,1
DERM,35202010,1
DRNA,35201010,1
DRRX,35202010,1
DVAX,35201010,1
EBIO,35201010,1
EBS,35201010,1
ECYT,35202010,1
EGLT,35202010,1
EGRX,35201010,1
ENTA,35201010,1
ENZ,35203010,1
EPZM,35201010,1
ESPR,35201010,1
EVOK,35202010,1
EXAS,35201010,1
EXEL,35201010,1
FATE,35201010,1
FBIO,35201010,1
FCSC,35201010,1
FGEN,35201010,1
FHCO,30302010,1
FLKS,35202010,1
FLXN,35201010,1
FMI,35201010,1
FOLD,35201010,1
FPRX,35201010,1
GALE,35201010,1
GALT,35201010,1
GERN,35201010,1
GHDX,35201010,1
GILD,35201010,1
GMED,35101010,1
GNCA,35201010,1
GNVC,35201010,1
GTXI,35201010,1
HALO,35201010,1
HEB,35201010,1
HSGX,35201010,1
HTBX,35201010,1
IBIO,35201010,1
ICAD,35103010,1
ICPT,35201010,1
IDRA,35201010,1
IGC,35202010,1
IMGN,35201010,1
IMMU,35201010,1
IMMY,35202010,1
IMNP,35201010,1
IMUC,35201010,1
INCR,35203010,1
INCY,35201010,1
INFI,35201010,1
INO,35201010,1
INSM,35201010,1
INSY,35201010,1
IRWD,35201010,1
ISR,35201010,1
ITCI,35202010,1
ITEK,35201010,1
JAGX,35202010,1
JNP,35202010,1
JUNO,35201010,1
KERX,35201010,1
KIN,35201010,1
KITE,35201010,1
KMPH,35202010,1
KOOL,35101010,1
KPTI,35201010,1
LBIO,35201010,1
LGND,35201010,1
LH,35102015,1
LIFE,35201010,1
LJPC,35201010,1
LLY,35202010,1
LOXO,35201010,1
LPCN,35202010,1
LXRX,35201010,1
MDCO,35202010,1
MEIP,35201010,1
MGNX,35201010,1
MNKD,35201010,1
MNOV,35201010,1
MNTA,35201010,1
MRK,35202010,1
MRNS,35202010,1
MRTX,35201010,1
MYGN,35201010,1
NAVB,35201010,1
NBIX,35201010,1
NEOT,35201010,1
NKTR,35202010,1
NLNK,35201010,1
NNVC,35201010,1
NVAX,35201010,1
NVIV,35101010,1
NVRO,35101010,1
OCRX,35202010,1
OCUL,35202010,1
OGEN,35201010,1
OGXI,35201010,1
OHRP,35201010,1
OMED,35201010,1
OMER,35202010,1
ONCE,35201010,1
ONTX,35201010,1
OPHT,35201010,1
OPK,35201010,1
OPXA,35201010,1
