symbol,gics8,text_068
AWX,20201050,0
CLH,20201050,0
CVA,20201050,0
CWST,20201050,0
ECOL,20201050,0
EEI,20201050,0
HCCI,20201050,0
MNGA,20201050,0
PESI,20201050,0
QRHC,20201050,0
RSG,20201050,0
SMED,35102015,0
SRCL,20201050,0
VHI,15101050,0
WM,20201050,0
AAT,60101010,1
ABR,40204010,1
ACC,60101060,1
ACRE,40204010,1
ADC,60101070,1
AHH,60101010,1
AIV,60101060,1
AKR,60101070,1
ALEX,60102010,1
ALX,60101070,1
APTS,60101060,1
ARE,60101040,1
AVB,60101060,1
BDN,60101040,1
BFS,60101070,1
BRG,60101060,1
BRT,60101060,1
BRX,60101070,1
BXP,60101040,1
CBL,60101070,1
CDR,60101070,1
CLI,60101040,1
CMCT,40204010,1
CONE,60101080,1
CPT,60101060,1
CTO,60102010,1
CTRE,60101050,1
CTT,60101080,1
CUBE,60101080,1
CUZ,60101040,1
CXP,60101040,1
DCT,60101020,1
DDR,60101070,1
DEI,60101040,1
DFT,60101080,1
DLR,60101080,1
DOC,60101050,1
DRE,60101020,1
EDR,60101060,1
EGP,60101020,1
ELS,60101060,1
EPR,60101080,1
EQC,60101040,1
EQR,60101060,1
ESBA,60101010,1
ESRT,60101010,1
ESS,60101060,1
EXR,60101080,1
FOR,60102030,1
FPO,60101010,1
FR,60101020,1
FRPH,60102020,1
FRT,60101070,1
FSP,60101040,1
GGP,60101070,1
GOOD,60101010,1
GOV,60101040,1
GPT,60101010,1
GTY,60101070,1
HCP,60101050,1
HHC,60102030,1
HIW,60101040,1
HPP,60101040,1
HR,60101050,1
HTA,60101050,1
IRET,60101010,1
IRT,60101060,1
JCAP,60101080,1
JOE,60102010,1
KIM,60101070,1
KRC,60101040,1
KRG,60101070,1
LAND,60101080,1
LMNR,30202010,1
LPT,60101010,1
LTC,60101050,1
LXP,60101010,1
MAA,60101060,1
MAC,60101070,1
MNR,60101020,1
MORE,60101060,1
MPW,60101050,1
NHI,60101050,1
NNN,60101070,1
NXRT,60101060,1
NYRT,60101040,1
O,60101070,1
OFC,60101040,1
OHI,60101050,1
OLP,60101010,1
ORM,40204010,1
PCH,60101080,1
PDM,60101040,1
PEI,60101070,1
PGRE,60101040,1
PKY,60101040,1
PLD,60101020,1
PSA,60101080,1
PSB,60101010,1
PW,60101080,1
RAS,60101010,1
REG,60101070,1
REIS,45101010,1
RESI,40204010,1
REXR,60101020,1
RLGY,60102040,1
ROIC,60101070,1
RPT,60101070,1
RYN,60101080,1
SBAC,60101080,1
SBRA,60101050,1
SIR,60101010,1
SKT,60101070,1
SLG,60101040,1
SNH,60101050,1
SNR,60101050,1
SPG,60101070,1
SRC,60101010,1
STAG,60101020,1
STAR,60101010,1
STOR,60101010,1
STRS,60102030,1
SUI,60101060,1
TCI,60102020,1
TCO,60101070,1
TRC,60102010,1
TRNO,60101020,1
UBA,60101070,1
UDR,60101060,1
UE,60101070,1
VGR,30203010,1
VNO,60101040,1
VTR,60101050,1
WD,40102010,1
WHLR,60101070,1
WPC,60101010,1
WRE,60101010,1
WRI,60101070,1
WSR,60101070,1
ADTN,45201020,2
ALSK,50101020,2
AMT,60101080,2
ARRS,45201020,2
ATNI,50101020,2
AVNW,45201020,2
BBOX,45201020,2
BRCD,45201020,2
BSFT,45103010,2
CALX,45201020,2
CAMP,45201020,2
CAVM,45301020,2
CBB,50101020,2
CCOI,50101010,2
CIEN,45201020,2
CLRO,45201020,2
CMTL,45201020,2
CNSL,50101020,2
COMM,45201020,2
COR,60101080,2
CSCO,45201020,2
CTL,50101020,2
DGII,45201020,2
DSPG,45301020,2
EQIX,60101080,2
EVOL,45103010,2
EXTR,45201020,2
FRP,50101020,2
FSNN,50101010,2
FTR,50101020,2
GNCMA,50101020,2
GSAT,50101010,2
GTT,45101010,2
HCOM,50101020,2
HIVE,45201020,2
IDT,50101020,2
INAP,45101010,2
IPAS,45101010,2
IRDM,50101010,2
JCS,45201020,2
JNPR,45201020,2
KVHI,45201020,2
LMOS,50101010,2
LORL,25401025,2
LVLT,50101010,2
MRVC,45201020,2
NTGR,45201020,2
OTEL,50101020,2
PCTI,45201020,2
RNET,10101020,2
RSYS,45203020,2
SATS,45201020,2
SCSC,45203030,2
SHEN,50102010,2
SHOR,45201020,2
SONS,45201020,2
SPOK,50102010,2
SSNI,45103010,2
T,50101020,2
TCCO,45201020,2
TDS,50102010,2
TESS,45201020,2
TMUS,50102010,2
UBNT,45201020,2
USM,50102010,2
VG,50101010,2
VHC,45103010,2
VSAT,45201020,2
VZ,50101020,2
WIFI,50102010,2
WIN,50101020,2
WPCS,45102010,2
WSTC,20201060,2
WSTL,45201020,2
XGTI,45201020,2
ZAYO,50101010,2
ADGE,55105010,3
AMRC,20103010,3
BWEN,20104020,3
DUK,55101010,3
EMES,10102030,3
ENOC,45103010,3
ENPH,20104010,3
ERII,20106020,3
GNE,55101010,3
HASI,40204010,3
HTM,55105020,3
LEU,10102050,3
NEE,55101010,3
NEP,55105020,3
NRG,55105010,3
OPTT,20104020,3
ORA,55105020,3
PEGI,55105020,3
RGSE,20104010,3
SJI,55102010,3
SYMX,10101020,3
TSLA,25102010,3
VSLR,55105020,3
VVC,55103010,3
ATLC,40202010,4
CACC,40202010,4
CATM,45102020,4
CPSS,40202010,4
ECPG,40202010,4
GDOT,40202010,4
LC,40202010,4
NICK,40202010,4
ONDK,40201040,4
PRAA,40202010,4
RATE,45101010,4
SFLY,25502020,4
SYF,40202010,4
TREE,40102010,4
WRLD,40202010,4
AMRB,40101015,5
AROW,40101015,5
BANR,40101015,5
BDGE,40101015,5
BFIN,40102010,5
BHBK,40101015,5
BHLB,40101015,5
BKJ,40101015,5
BOCH,40101015,5
BOFI,40102010,5
BRKL,40101015,5
CAC,40101015,5
CATY,40101015,5
CCNE,40101015,5
CFNB,40101015,5
CNBKA,40101015,5
