tic,weburl
KBAL,www.kimball.com
ARTNA,www.artesianwater.com
HAWK,www.blackhawknetwork.com
PETX,www.aratana.com
CZNC,www.cnbankpa.com
SUNE,www.sunedison.com
RWT,www.redwoodtrust.com
FFNM,www.first-federal.com
WLL,www.whiting.com
CYTK,www.cytokinetics.com
MA,www.mastercard.com
BMI,www.badgermeter.com
DWCH,www.datawatch.com
FC,www.franklincovey.com
STXS,www.stereotaxis.com
OHRP,www.ohrpharmaceutical.com
RFIL,www.rfindustries.com
DRE,www.dukerealty.com
BH,www.biglariholdings.com
CTO,www.consolidatedtomoka.com
TAP,www.molsoncoors.com
ROYL,www.royl.com
CASH,www.metafinancialgroup.com
AXE,www.anixter.com
LSCC,www.latticesemi.com
WMAR,www.westmarine.com
WSBF,NULL
ADXS,www.advaxis.com
CLH,www.cleanharbors.com
SPDC,www.speedcommerce.com
ANCI,www.americancaresource.com
VNDA,www.vandapharmaceuticals.com
FLO,www.flowersfoods.com
QLGC,www.qlogic.com
RKT,www.rocktenn.com
VVUS,www.vivus.com
TWER,www.towerstream.com
PPHM,www.peregrineinc.com
GE,www.ge.com
KYTH,www.kytherabiopharma.com
URRE,www.uraniumresources.com
CAP,www.capps.com
SIVB,www.svb.com
TMP,www.tompkinsfinancial.com
DSCI,www.dermasciences.com
BTH,www.blythinc.com
HIW,www.highwoods.com
LPT,www.libertyproperty.com
WHR,www.whirlpoolcorp.com
MPG,mpgdriven.com
MYRG,www.myrgroup.com
3HECC,www.hydrocarb.com
HLT,www.hiltonworldwide.com
MSBF,www.millingtonsb.com
NCMI,www.ncm.com
CCE,www.cokecce.com
BHE,www.bench.com
SPPI,www.sppirx.com
BJRI,www.bjsrestaurants.com
KAR,www.karauctionservices.com
TREC,www.trecora.com
VAR,www.varian.com
WGL,www.wglholdings.com
OTIC,www.otonomy.com
LSTR,www.landstar.com
CSGS,www.csgi.com
3BFDI,www.brekford.com
PED,www.pacificenergydevelopment.com
HTGM,www.htgmolecular.com
ONTY,www.oncothyreon.com
PBFX,www.pbflogistics.com
KRC,www.kilroyrealty.com
ADNC,www.audience.com
ONVO,www.organovo.com
RRC,www.rangeresources.com
MGEE,www.mgeenergy.com
COUP,www.couponsinc.com
TUBE,www.tubemogul.com
PMC,www.pharmerica.com
EVOK,www.evokepharma.com
