n,r2,w
260,0.484451578162,0.079901659496
210,0.132452045824,0.0645359557468
205,0.13192124947,0.0629993853719
159,0.117080867857,0.0488629379226
123,0.231400613033,0.0377996312231
104,0.232116449718,0.0319606637984
103,0.173923238606,0.0316533497234
95,0.300700087627,0.0291948371235
94,0.295918728884,0.0288875230486
93,0.248199916093,0.0285802089736
89,0.15051830664,0.0273509526736
79,0.241693069276,0.0242778119238
76,0.212937328162,0.0233558696988
76,0.211974117237,0.0233558696988
71,0.142118705646,0.0218192993239
70,0.196786669106,0.0215119852489
66,0.19134969184,0.020282728949
66,0.213014400456,0.020282728949
65,0.293191150745,0.019975414874
63,0.461001184182,0.019360786724
59,0.214396081008,0.0181315304241
55,0.148600985939,0.0169022741242
53,0.198386461323,0.0162876459742
51,0.128869102146,0.0156730178242
47,0.179998067654,0.0144437615243
44,0.241874614305,0.0135218192993
42,0.295069265017,0.0129071911494
41,0.152754598764,0.0125998770744
34,0.208717801047,0.0104486785495
33,0.129051300519,0.0101413644745
33,0.184528091718,0.0101413644745
27,0.383327536182,0.00829748002459
27,0.286184030747,0.00829748002459
27,0.117378681976,0.00829748002459
27,0.341623250864,0.00829748002459
27,0.170150015045,0.00829748002459
26,0.239858859193,0.0079901659496
25,0.184760165807,0.00768285187462
25,0.13347580415,0.00768285187462
25,0.236861601177,0.00768285187462
24,0.126444621415,0.00737553779963
23,0.179302681404,0.00706822372465
21,0.182294311729,0.00645359557468
21,0.103230695696,0.00645359557468
19,0.198560514101,0.00583896742471
18,0.295938657785,0.00553165334972
17,0.205899693659,0.00522433927474
17,0.209053109279,0.00522433927474
17,0.103290092554,0.00522433927474
17,0.157669666088,0.00522433927474
16,0.115612284986,0.00491702519975
15,0.151657133335,0.00460971112477
13,0.115802765123,0.0039950829748
13,0.178705632499,0.0039950829748
12,0.219830646296,0.00368776889982
12,0.275860226684,0.00368776889982
11,0.165157994992,0.00338045482483
10,0.317846293367,0.00307314074985
9,0.21141755391,0.00276582667486
9,0.0791508710926,0.00276582667486
7,0.259910129613,0.00215119852489
7,0.134858602816,0.00215119852489
7,0.137391904471,0.00215119852489
6,0.0234726297455,0.00184388444991
6,0.182172852084,0.00184388444991
6,0.296983041406,0.00184388444991
4,0.308441889685,0.00122925629994
2,0.0897100766145,0.000614628149969
