n,r2,w
260,0.722868305407,0.079901659496
210,0.0424886507461,0.0645359557468
205,0.119741306774,0.0629993853719
159,0.119727526017,0.0488629379226
123,0.133966051903,0.0377996312231
104,0.138298697938,0.0319606637984
103,0.170789999147,0.0316533497234
95,0.356192697714,0.0291948371235
94,0.310363087503,0.0288875230486
93,0.208150541719,0.0285802089736
89,0.0355126762457,0.0273509526736
79,0.0742350592237,0.0242778119238
76,0.364023062638,0.0233558696988
76,0.256387945207,0.0233558696988
71,0.0709379657649,0.0218192993239
70,0.185788425689,0.0215119852489
66,0.133487324819,0.020282728949
66,0.246884623955,0.020282728949
65,0.226462545765,0.019975414874
63,0.564003663741,0.019360786724
59,0.179066605065,0.0181315304241
55,0.101173761316,0.0169022741242
53,0.14067118111,0.0162876459742
51,0.26155066765,0.0156730178242
47,0.101910332842,0.0144437615243
44,0.163313566603,0.0135218192993
42,0.246837357561,0.0129071911494
41,0.314646853315,0.0125998770744
34,0.0718646457572,0.0104486785495
33,0.299013622185,0.0101413644745
33,0.158308359768,0.0101413644745
27,0.343659645356,0.00829748002459
27,0.260016077449,0.00829748002459
27,0.166319166696,0.00829748002459
27,0.350867486429,0.00829748002459
27,0.413834948316,0.00829748002459
26,0.246406616314,0.0079901659496
25,0.242552308271,0.00768285187462
25,0.162754335802,0.00768285187462
25,0.418821306903,0.00768285187462
24,0.120717507352,0.00737553779963
23,0.0902863628458,0.00706822372465
21,0.25482812814,0.00645359557468
21,0.135471535461,0.00645359557468
19,0.188726238259,0.00583896742471
18,0.324039545373,0.00553165334972
17,0.310614857666,0.00522433927474
17,0.212264321881,0.00522433927474
17,0.312061072821,0.00522433927474
17,0.0777140971709,0.00522433927474
16,0.139910067146,0.00491702519975
15,0.0503892729192,0.00460971112477
13,0.358712847905,0.0039950829748
13,0.152425395031,0.0039950829748
12,0.239883525027,0.00368776889982
12,0.189454940512,0.00368776889982
11,0.0865668956026,0.00338045482483
10,0.381129538517,0.00307314074985
9,0.287880586599,0.00276582667486
9,0.569503712078,0.00276582667486
7,0.0492449433018,0.00215119852489
7,0.197399612519,0.00215119852489
7,0.222804955392,0.00215119852489
6,0.248563185787,0.00184388444991
6,0.384038613032,0.00184388444991
6,0.365119043352,0.00184388444991
4,0.060156667837,0.00122925629994
2,0.015051409813,0.000614628149969
