n,r2,w
180,0.0283467152217,0.0553165334972
179,0.12282991497,0.0550092194222
173,0.2883138219,0.0531653349723
166,0.71121181587,0.0510141364474
153,0.143599852392,0.0470190534726
141,0.177626831827,0.0433312845728
102,0.0856736350104,0.0313460356484
98,0.131782776436,0.0301167793485
83,0.244609548673,0.0255070682237
80,0.159663550506,0.0245851259988
77,0.757767878547,0.0236631837738
69,0.122190900352,0.0212046711739
66,0.0525597909731,0.020282728949
64,0.172729594205,0.019668100799
59,0.228278013777,0.0181315304241
59,0.181677314139,0.0181315304241
58,0.710124274102,0.0178242163491
58,0.220516953496,0.0178242163491
57,0.265230070522,0.0175169022741
56,0.289696328497,0.0172095881991
53,0.0741252347344,0.0162876459742
52,0.431158167837,0.0159803318992
51,0.15758279183,0.0156730178242
50,0.0511302924331,0.0153657037492
50,0.0878242037063,0.0153657037492
49,0.15840882539,0.0150583896742
47,0.314066449149,0.0144437615243
44,0.112148745228,0.0135218192993
44,0.114464966456,0.0135218192993
44,0.0545435699052,0.0135218192993
41,0.146739326925,0.0125998770744
36,0.159522947053,0.0110633066994
34,0.300995098139,0.0104486785495
31,0.24226555318,0.00952673632452
31,0.32112131716,0.00952673632452
29,0.31527291619,0.00891210817455
29,0.21898426059,0.00891210817455
29,0.405223919929,0.00891210817455
28,0.239681451557,0.00860479409957
28,0.127162971636,0.00860479409957
26,0.186018586487,0.0079901659496
25,0.431367287661,0.00768285187462
24,0.407206006571,0.00737553779963
23,0.34121265274,0.00706822372465
22,0.0766244489683,0.00676090964966
21,0.119428704882,0.00645359557468
21,0.396590847575,0.00645359557468
21,0.0692747976008,0.00645359557468
21,0.228298908848,0.00645359557468
19,0.32510278363,0.00583896742471
19,0.211939987628,0.00583896742471
19,0.31727577736,0.00583896742471
19,0.140444177602,0.00583896742471
18,0.0789706234976,0.00553165334972
17,0.518751365549,0.00522433927474
16,0.588143629264,0.00491702519975
15,0.112941629886,0.00460971112477
15,0.13354496482,0.00460971112477
15,0.187860030644,0.00460971112477
15,0.0585950835188,0.00460971112477
13,0.555200131173,0.0039950829748
13,0.218618092023,0.0039950829748
12,0.403921580893,0.00368776889982
12,0.219171790427,0.00368776889982
10,0.188368846569,0.00307314074985
10,0.226750920534,0.00307314074985
9,0.44522083288,0.00276582667486
6,0.179167162484,0.00184388444991
