n,r2,w
111,0.561178826747,0.0341118623233
87,0.20760603641,0.0267363245237
82,0.139538874341,0.0251997541487
76,0.134120240196,0.0233558696988
70,0.293924440074,0.0215119852489
55,0.620008143497,0.0169022741242
50,0.158432196588,0.0153657037492
49,0.158535418167,0.0150583896742
48,0.187884096666,0.0147510755993
47,0.103571843866,0.0144437615243
46,0.236534870685,0.0141364474493
45,0.266838797902,0.0138291333743
42,0.18444166122,0.0129071911494
40,0.238780902178,0.0122925629994
40,0.235766479572,0.0122925629994
39,0.222632867326,0.0119852489244
38,0.126862415742,0.0116779348494
37,0.138050555009,0.0113706207744
36,0.133191094941,0.0110633066994
36,0.200006912233,0.0110633066994
36,0.560353307789,0.0110633066994
35,0.230006367061,0.0107559926245
35,0.258581749737,0.0107559926245
35,0.526141853252,0.0107559926245
34,0.234514498404,0.0104486785495
34,0.0671375137392,0.0104486785495
33,0.190575431939,0.0101413644745
32,0.181313023292,0.00983405039951
32,0.196448325472,0.00983405039951
31,0.164953024414,0.00952673632452
30,0.332462745966,0.00921942224954
29,0.204333234652,0.00891210817455
29,0.163826255299,0.00891210817455
28,0.211690915375,0.00860479409957
28,0.152158348406,0.00860479409957
28,0.151235751088,0.00860479409957
28,0.218653380043,0.00860479409957
27,0.21416880339,0.00829748002459
27,0.235296214119,0.00829748002459
27,0.176885963311,0.00829748002459
27,0.237825640896,0.00829748002459
27,0.188395604394,0.00829748002459
26,0.285978158475,0.0079901659496
26,0.199343874583,0.0079901659496
25,0.305875643338,0.00768285187462
25,0.171407555284,0.00768285187462
24,0.232334634771,0.00737553779963
23,0.161268811116,0.00706822372465
23,0.231267385374,0.00706822372465
22,0.15316712899,0.00676090964966
22,0.242240086615,0.00676090964966
22,0.109677188925,0.00676090964966
21,0.274529004766,0.00645359557468
21,0.223927702087,0.00645359557468
21,0.136169945245,0.00645359557468
20,0.123156865117,0.00614628149969
20,0.199487530533,0.00614628149969
20,0.0679066373542,0.00614628149969
20,0.16797399879,0.00614628149969
20,0.18371797079,0.00614628149969
19,0.201877160394,0.00583896742471
18,0.0954428267034,0.00553165334972
18,0.14662520433,0.00553165334972
18,0.286062230548,0.00553165334972
18,0.33403950172,0.00553165334972
18,0.283089269309,0.00553165334972
18,0.261623040246,0.00553165334972
18,0.148908349344,0.00553165334972
17,0.204399513781,0.00522433927474
17,0.0667999109991,0.00522433927474
17,0.321768928239,0.00522433927474
17,0.18182614129,0.00522433927474
17,0.225043550696,0.00522433927474
17,0.228560910557,0.00522433927474
17,0.106951619089,0.00522433927474
17,0.144991126571,0.00522433927474
17,0.268506192391,0.00522433927474
17,0.148651544456,0.00522433927474
16,0.130585396345,0.00491702519975
16,0.221705979919,0.00491702519975
16,0.107054896412,0.00491702519975
16,0.25848339904,0.00491702519975
16,0.139036914922,0.00491702519975
15,0.144512483201,0.00460971112477
15,0.186449311039,0.00460971112477
15,0.228928437478,0.00460971112477
15,0.212332163648,0.00460971112477
15,0.0799936736916,0.00460971112477
15,0.183539092998,0.00460971112477
15,0.117439128264,0.00460971112477
15,0.217186631921,0.00460971112477
15,0.169252335518,0.00460971112477
14,0.193730684523,0.00430239704978
14,0.219059563286,0.00430239704978
13,0.169984621839,0.0039950829748
13,0.222641793453,0.0039950829748
13,0.248595440496,0.0039950829748
13,0.12081998045,0.0039950829748
13,0.274296716923,0.0039950829748
12,0.230372493462,0.00368776889982
12,0.143980552225,0.00368776889982
12,0.153102604997,0.00368776889982
12,0.261345428342,0.00368776889982
12,0.196107235703,0.00368776889982
12,0.14639717059,0.00368776889982
12,0.163974774816,0.00368776889982
12,0.30102909003,0.00368776889982
12,0.19206411223,0.00368776889982
12,0.10979842835,0.00368776889982
11,0.258516985491,0.00338045482483
11,0.299518011301,0.00338045482483
11,0.0857801844146,0.00338045482483
11,0.455992114726,0.00338045482483
11,0.285337735279,0.00338045482483
11,0.311112244339,0.00338045482483
10,0.157305347519,0.00307314074985
10,0.26741627441,0.00307314074985
10,0.352329640693,0.00307314074985
10,0.0953642914102,0.00307314074985
10,0.151074136363,0.00307314074985
10,0.130415490611,0.00307314074985
9,0.034498813485,0.00276582667486
9,0.371870299389,0.00276582667486
9,0.32005407919,0.00276582667486
9,0.0879072071924,0.00276582667486
9,0.227803060802,0.00276582667486
9,0.121157619713,0.00276582667486
9,0.280199144877,0.00276582667486
8,0.174878073894,0.00245851259988
8,0.153978159125,0.00245851259988
8,0.243183112331,0.00245851259988
8,0.160204042462,0.00245851259988
8,0.37241533294,0.00245851259988
8,0.221460728858,0.00245851259988
8,0.179088425671,0.00245851259988
8,0.222475283576,0.00245851259988
7,0.174898165382,0.00215119852489
7,0.279909330717,0.00215119852489
7,0.102140004287,0.00215119852489
6,0.356221530022,0.00184388444991
6,0.508883039046,0.00184388444991
6,0.418118279894,0.00184388444991
6,0.580922592391,0.00184388444991
6,0.0527733022596,0.00184388444991
6,0.0551211666066,0.00184388444991
6,0.402532256086,0.00184388444991
5,0.177502738617,0.00153657037492
5,0.354716961774,0.00153657037492
5,0.0394665844376,0.00153657037492
5,0.337780182146,0.00153657037492
5,0.295253269111,0.00153657037492
5,0.335367559126,0.00153657037492
5,0.130576934728,0.00153657037492
4,0.0634339495959,0.00122925629994
4,0.367319574257,0.00122925629994
3,0.172930992239,0.000921942224954
2,0.0943783348323,0.000614628149969
