n,r2,w
163,0.251161523899,0.0500614250614
158,0.24051858305,0.0485257985258
157,0.235518756812,0.0482186732187
153,0.238228991992,0.0469901719902
149,0.221511308158,0.0457616707617
144,0.238068040626,0.044226044226
141,0.218156716304,0.0433046683047
139,0.227746909103,0.0426904176904
139,0.182374951556,0.0426904176904
138,0.209099472913,0.0423832923833
138,0.237240589139,0.0423832923833
138,0.205242510062,0.0423832923833
134,0.243898385569,0.0411547911548
133,0.236485580214,0.0408476658477
132,0.203636350807,0.0405405405405
131,0.238649326457,0.0402334152334
131,0.262350736992,0.0402334152334
129,0.22445103308,0.0396191646192
128,0.23174160938,0.039312039312
125,0.210697403176,0.0383906633907
121,0.216832425873,0.0371621621622
113,0.221941307686,0.0347051597052
112,0.193809802367,0.034398034398
110,0.237444294809,0.0337837837838
