n,r2,w
68,0.279216421905,0.0208845208845
61,0.188074292883,0.0187346437346
60,0.151605979865,0.0184275184275
59,0.124662469904,0.0181203931204
56,0.139929093127,0.017199017199
56,0.144187366023,0.017199017199
55,0.241268387882,0.0168918918919
55,0.178515220007,0.0168918918919
55,0.176149029393,0.0168918918919
55,0.280303505978,0.0168918918919
55,0.189468013479,0.0168918918919
54,0.142805629226,0.0165847665848
54,0.160208461704,0.0165847665848
54,0.372645289206,0.0165847665848
54,0.193509160445,0.0165847665848
53,0.0557070505957,0.0162776412776
52,0.209223529774,0.0159705159705
52,0.150429395783,0.0159705159705
51,0.155732114378,0.0156633906634
51,0.183065139648,0.0156633906634
51,0.242748795984,0.0156633906634
50,0.208024234697,0.0153562653563
50,0.311062619198,0.0153562653563
50,0.191768248385,0.0153562653563
50,0.177730636053,0.0153562653563
50,0.138394845525,0.0153562653563
50,0.222167069158,0.0153562653563
49,0.188859138598,0.0150491400491
48,0.290436806208,0.014742014742
48,0.142708229328,0.014742014742
48,0.0559910280259,0.014742014742
48,0.109111065968,0.014742014742
48,0.169441261886,0.014742014742
48,0.21031034139,0.014742014742
47,0.157649255173,0.0144348894349
47,0.100704831849,0.0144348894349
47,0.169609144145,0.0144348894349
47,0.293384239093,0.0144348894349
47,0.266359639572,0.0144348894349
46,0.290174114689,0.0141277641278
46,0.220086139123,0.0141277641278
46,0.284922494758,0.0141277641278
46,0.0973258325146,0.0141277641278
45,0.143826264472,0.0138206388206
45,0.194730830395,0.0138206388206
45,0.206396871494,0.0138206388206
45,0.119243418029,0.0138206388206
45,0.0735435876265,0.0138206388206
45,0.286861135064,0.0138206388206
44,0.11086561025,0.0135135135135
44,0.140948865302,0.0135135135135
44,0.109065841853,0.0135135135135
44,0.185985675408,0.0135135135135
44,0.112096902368,0.0135135135135
43,0.220878958042,0.0132063882064
42,0.152932515951,0.0128992628993
42,0.0912716707207,0.0128992628993
41,0.211117067908,0.0125921375921
41,0.121304315832,0.0125921375921
41,0.23275683743,0.0125921375921
40,0.305445435951,0.012285012285
40,0.176619268026,0.012285012285
39,0.156308462486,0.0119778869779
38,0.137120174348,0.0116707616708
37,0.203661011169,0.0113636363636
37,0.292256773688,0.0113636363636
36,0.167517548442,0.0110565110565
32,0.124171106155,0.00982800982801
